question,best_answer,similarity
hangi r b grubunda solisti,crossover r b,1.0
hangi albüm onu dünyaca ünlü bir sanatçı yaptı,ünlü bir heykeltıraş,1.0
beyoncé nin solo sanatçı olarak çıkardığı ilk albüm neydi,sanatçı koşusu,1.0
beyoncé nin ilk solo albümünün adı neydi,solo piyano,1.0
etta james i hangi filmden sonra beyonce sasha fierce i yarattı,vi james i skoç kralı,1.0
beyonce kendini nasıl feminist olarak tanımladı,kendini destekle,1.0
beyonce nin küçük kardeşi de hangi grupta onunla şarkı söyledi,şarkı spinnerler,1.0
beyonce adını nereden aldı,adını tekrarlayan üç kez,1.0
beyonce nin babası hangi ırktı,babası,1.0
beyonce nin çocukluk evi hangi dine inanıyordu,wotton evi,1.0
